file,added,deleted,net,category,clean_included,commits_touched,binary_touches
drizzle/0000_nice_the_santerians.sql,831,0,831,config_build,true,2,0
drizzle/0001_glossy_the_spike.sql,25,0,25,config_build,true,1,0
drizzle/0002_overrated_infant_terrible.sql,0,12,-12,config_build,true,1,0
drizzle/0003_rapid_the_executioner.sql,0,1,-1,config_build,true,1,0
drizzle/0004_odd_angel.sql,0,143,-143,config_build,true,1,0
drizzle/0005_oc_semester_marks.sql,0,16,-16,config_build,true,1,0
drizzle/0006_add_inactive_oc_status.sql,0,1,-1,config_build,true,1,0
drizzle/0007_audit_log_upgrade.sql,0,32,-32,config_build,true,1,0
drizzle/0023_instructor_profile_subjects.sql,3,0,3,config_build,true,1,0
drizzle/0027_site_events_news.sql,13,0,13,config_build,true,1,0
drizzle/0028_site_footer.sql,3,0,3,config_build,true,1,0
drizzle/0029_interview_pending_ticker_settings.sql,18,0,18,config_build,true,1,0
drizzle/0030_preserve_jnu_enrollment_no.sql,6,0,6,config_build,true,1,0
drizzle/0031_platoon_cadet_appointments.sql,40,0,40,config_build,true,1,0
drizzle/0032_course_scoped_training_templates.sql,556,0,556,config_build,true,1,0
drizzle/0033_subject_phase_test_count.sql,6,0,6,config_build,true,1,0
drizzle/0035_restore_course_scoped_training_templates.sql,722,0,722,config_build,true,1,0
drizzle/0036_cadet_appointments.sql,80,0,80,config_build,true,1,0
drizzle/0037_dossier_lock_and_enrollment_semester.sql,26,0,26,config_build,true,1,0
drizzle/0038_reset_active_enrollment_semester_to_one.sql,4,0,4,config_build,true,1,0
drizzle/meta/_journal.json,95,53,42,generated_lock_artifact,false,12,0
drizzle/meta/0000_snapshot.json,3016,608,2408,generated_lock_artifact,false,1,0
drizzle/meta/0001_snapshot.json,5872,3921,1951,generated_lock_artifact,false,2,0
drizzle/meta/0002_snapshot.json,0,3921,-3921,generated_lock_artifact,false,1,0
drizzle/meta/0003_snapshot.json,0,3927,-3927,generated_lock_artifact,false,1,0
drizzle/meta/0004_snapshot.json,0,4881,-4881,generated_lock_artifact,false,1,0
next.config.ts,3,2,1,config_build,true,2,0
package.json,6,2,4,config_build,true,3,0
pnpm-lock.yaml,30,0,30,generated_lock_artifact,false,1,0
public/images/army_logo.jpeg,0,0,0,generated_lock_artifact,false,1,1
public/images/brigadier_logo.jpeg,0,0,0,generated_lock_artifact,false,1,1
public/images/eme_logo.jpeg,0,0,0,generated_lock_artifact,false,1,1
scripts/build-next.ts,40,0,40,config_build,true,2,0
scripts/db-baseline.ts,2,1,1,config_build,true,1,0
scripts/db-repair-course-offering-credits.ts,290,0,290,config_build,true,1,0
scripts/db-repair-olq-course-template.ts,2,1,1,config_build,true,1,0
scripts/db/export-schema-docs.ts,2,1,1,config_build,true,1,0
scripts/health-check.ts,2,1,1,config_build,true,1,0
scripts/package-runtime.ts,2,2,0,config_build,true,2,0
scripts/validate-action-map.ts,2,2,0,config_build,true,1,0
src/app/(auth)/login/page.tsx,28,18,10,production,true,3,0
src/app/(auth)/signup/page.tsx,1,1,0,production,true,1,0
src/app/api/v1/admin/appointments/[id]/route.ts,2,1,1,production,true,1,0
src/app/api/v1/admin/appointments/route.ts,46,7,39,production,true,2,0
src/app/api/v1/admin/courses/[courseId]/offerings/[offeringId]/route.ts,25,6,19,production,true,1,0
src/app/api/v1/admin/courses/[courseId]/offerings/route.ts,40,40,0,production,true,1,0
src/app/api/v1/admin/courses/[courseId]/route.ts,9,2,7,production,true,1,0
src/app/api/v1/admin/discipline/[id]/route.ts,71,0,71,production,true,2,0
src/app/api/v1/admin/discipline/route.ts,39,0,39,production,true,2,0
src/app/api/v1/admin/dossier-lock/route.ts,79,0,79,production,true,1,0
src/app/api/v1/admin/instructors/[id]/route.ts,10,0,10,production,true,1,0
src/app/api/v1/admin/instructors/route.ts,15,0,15,production,true,1,0
src/app/api/v1/admin/interview/pending/route.ts,654,71,583,production,true,4,0
src/app/api/v1/admin/interview/pending/ticker-setting/route.ts,147,4,143,production,true,2,0
src/app/api/v1/admin/interview/templates/copy/route.ts,90,0,90,production,true,2,0
src/app/api/v1/admin/interview/templates/route.ts,31,9,22,production,true,4,0
src/app/api/v1/admin/physical-training/motivation-fields/[id]/route.ts,20,4,16,production,true,2,0
src/app/api/v1/admin/physical-training/motivation-fields/route.ts,16,8,8,production,true,2,0
src/app/api/v1/admin/physical-training/templates/copy/route.ts,92,0,92,production,true,2,0
src/app/api/v1/admin/physical-training/templates/route.ts,15,7,8,production,true,3,0
src/app/api/v1/admin/physical-training/types/[typeId]/route.ts,16,6,10,production,true,2,0
src/app/api/v1/admin/physical-training/types/route.ts,16,8,8,production,true,2,0
src/app/api/v1/admin/positions/route.ts,20,4,16,production,true,1,0
src/app/api/v1/admin/relegation/promote-course/route.ts,4,3,1,production,true,1,0
src/app/api/v1/admin/site-settings/events-news/[id]/hard/route.ts,48,0,48,production,true,1,0
src/app/api/v1/admin/site-settings/events-news/[id]/route.ts,120,0,120,production,true,1,0
src/app/api/v1/admin/site-settings/events-news/route.ts,85,0,85,production,true,1,0
src/app/api/v1/admin/site-settings/footer/route.ts,121,0,121,production,true,1,0
src/app/api/v1/admin/subjects/[id]/route.ts,1,1,0,production,true,1,0
src/app/api/v1/admin/subjects/route.ts,2,0,2,production,true,1,0
src/app/api/v1/admin/training-camps/[campId]/route.ts,12,4,8,production,true,2,0
src/app/api/v1/admin/training-camps/copy/route.ts,92,0,92,production,true,2,0
src/app/api/v1/admin/training-camps/route.ts,23,7,16,production,true,3,0
src/app/api/v1/admin/training-camps/settings/route.ts,2,2,0,production,true,1,0
src/app/api/v1/admin/users/[id]/route.ts,7,4,3,production,true,1,0
src/app/api/v1/admin/users/route.ts,23,8,15,production,true,2,0
src/app/api/v1/auth/login/route.ts,63,73,-10,production,true,1,0
src/app/api/v1/auth/logout/route.ts,33,33,0,production,true,2,0
src/app/api/v1/dashboard/data/appointments/route.ts,101,2,99,production,true,3,0
src/app/api/v1/dashboard/data/course/route.ts,72,8,64,production,true,3,0
src/app/api/v1/dashboard/data/platoon/route.ts,42,0,42,production,true,1,0
src/app/api/v1/me/route.ts,30,12,18,production,true,3,0
src/app/api/v1/oc/_checks.ts,21,9,12,production,true,1,0
src/app/api/v1/oc/[ocId]/academics/[semester]/route.ts,9,9,0,production,true,2,0
src/app/api/v1/oc/[ocId]/academics/[semester]/subjects/[subjectId]/route.ts,9,9,0,production,true,2,0
src/app/api/v1/oc/[ocId]/academics/route.ts,2,3,-1,production,true,1,0
src/app/api/v1/oc/[ocId]/achievements/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/autobiography/route.ts,5,4,1,production,true,1,0
src/app/api/v1/oc/[ocId]/club-achievements/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/clubs/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/counselling/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/credit-for-excellence/[id]/route.ts,3,3,0,production,true,2,0
src/app/api/v1/oc/[ocId]/credit-for-excellence/route.ts,14,0,14,production,true,1,0
src/app/api/v1/oc/[ocId]/discipline/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/dossier-filling/route.ts,106,4,102,production,true,2,0
src/app/api/v1/oc/[ocId]/dossier-inspection/route.ts,314,3,311,production,true,2,0
src/app/api/v1/oc/[ocId]/dossier-snapshot/route.ts,541,71,470,production,true,5,0
src/app/api/v1/oc/[ocId]/drill/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/education/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/family/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/fpr/route.ts,66,1,65,production,true,4,0
src/app/api/v1/oc/[ocId]/images/complete/route.ts,3,3,0,production,true,1,0
src/app/api/v1/oc/[ocId]/images/presign/route.ts,3,3,0,production,true,1,0
src/app/api/v1/oc/[ocId]/images/route.ts,5,5,0,production,true,2,0
src/app/api/v1/oc/[ocId]/interviews/[interviewId]/route.ts,100,3,97,production,true,4,0
src/app/api/v1/oc/[ocId]/interviews/route.ts,99,3,96,production,true,4,0
src/app/api/v1/oc/[ocId]/medical-category/[id]/route.ts,4,4,0,production,true,1,0
src/app/api/v1/oc/[ocId]/medical/[id]/route.ts,5,5,0,production,true,1,0
